# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
K	_root_	SFSafariCorrespondingMacOSAppBundleIdentifier	Safari - Associated macOS App Bundle Identifier	String
K	_root_	SFSafariCorrespondingMacOSExtensionBundleIdentifier	Safari - Associated macOS Extension Bundle Identifier	String
K	_root_	AdNetworkIdentifiers	AdAttributionKit - Ad Network Identifiers	StringArray
K	_root_	AttributionCopyEndpoint	AdAttributionKit - Postback Copy URL	String
K	_root_	EligibleForAdAttributionKitReengagementPostbackCopies	AdAttributionKit - Opt in for Reengagement Postback Copies	Boolean
K	_root_	EligibleForAdAttributionKitOverlappingConversions	AdAttributionKit - Opt in to receive conversion tags	Boolean
K	_root_	AdAttributionKitConfigurations	AdAttributionKit - Configurations	AdAttributionKitConfigurationsDictionary
K	_root_	WiFiAwareServices	Wi-Fi Aware Services	WiFiAwareServicesDictionary
D	UIApplicationSceneManifestDictionary	Dictionary	
K	UIApplicationSceneManifestDictionary	UIApplicationSupportsMultipleScenes	Enable Multiple Scenes	Boolean
K	UIApplicationSceneManifestDictionary	UISceneConfigurations	Scene Configuration	UISceneConfigurationsDictionary
K	UIApplicationSceneManifestDictionary	UIApplicationSupportsTabbedSceneCollection	Supports Tabbed Scene Collection	Boolean
K	UIApplicationSceneManifestDictionary	UIApplicationPreferredDefaultSceneSessionRole	Preferred Default Scene Session Role	UIApplicationPreferredDefaultSceneSessionRoleStrings
D	UISceneConfigurationsDictionary	Dictionary	
K	UISceneConfigurationsDictionary	UIWindowSceneSessionRoleApplication	Window Application Session Role	UISceneConfigurationArray
K	UISceneConfigurationsDictionary	UIWindowSceneSessionRoleExternalDisplayNonInteractive	External Display Session Role Non-Interactive	UISceneConfigurationArray
K	UISceneConfigurationsDictionary	UIWindowSceneSessionRoleExternalDisplay	External Display Session Role (Legacy)	UISceneConfigurationArray
K	UISceneConfigurationsDictionary	UIWindowSceneSessionRoleVolumetricApplication	Volumetric Window Application Session Role	UISceneConfigurationArray
